bits;time;base;exponent;modulus;result;match
40;4.207141160964966;742807078595;298984123429;1099511628443;298984123429;True 
41;3.6699905395507812;839256775400;704343124930;2199023255867;704343124930;True 
42;12.975199699401855;3261102050235;766207416109;4398046512059;766207416109;True 
43;27.970007181167603;6344678872460;46330920843;8796093022967;46330920843;True 
44;17.293763875961304;3399267069561;278140563705;17592186046427;278140563705;True 
45;3.3002700805664062;17451184012742;12882148166012;35184372098147;12882148166012;True 
46;12.241077423095703;68338928191544;28298617442666;70368744181907;28298617442666;True 
47;55.91552758216858;18789841351021;43420316198486;140737488356903;43420316198486;True 
48;69.29635119438171;73180446972676;66033322487111;281474976711563;66033322487111;True 
49;96.97184324264526;246475100835998;166591239079067;562949953422839;166591239079067;True 
50;96.03975009918213;1075776714441413;167439189372343;1125899906846567;167439189372343;True 
51;56.82593059539795;1415457576582869;507309222506336;2251799813687339;507309222506336;True 
52;196.64849734306335;1284133405009928;1901236850924741;4503599627372423;1901236850924741;True 
53;327.941810131073;1659922074373203;1485290032525487;9007199254741067;1485290032525487;True 
54;330.77232122421265;8999596533196815;828191679878570;18014398509483863;828191679878570;True 
55;255.91338348388672;10403410514813671;11653090020267303;36028797018970703;11653090020267303;True 
56;2269.512972354889;60622937090553366;838769492201192;72057594037930967;838769492201192;True 
57;1865.635782957077;124055604894904135;50072469413511019;144115188075860447;50072469413511019;True 
58;3139.898723602295;69078331179379493;123993350858473183;288230376151720907;123993350858473183;True 
59;814.992583990097;536279082695614193;247333195336871013;576460752303424907;247333195336871013;True 
60;7237.889989614487;720171548381895333;459798433596101787;1152921504606849707;459798433596101787;True
