bits;time;base;exponent;modulus;result;match
40;4.071734666824341;358265456893;351324868638;1099511628443;351324868638;True 
40;1.4332993030548096;799978277227;392549140697;1099511628443;392549140697;True 
40;0.378603458404541;856585070800;515443717141;1099511628443;515443717141;True 
40;0.5104959011077881;292697273312;361018858203;1099511628443;361018858203;True 
40;5.70433783531189;470205506634;466645141317;1099511628443;466645141317;True 
40;1.6173298358917236;722183631051;76088499888;1099511628443;76088499888;True 
40;1.454331874847412;918369748962;205303554083;1099511628443;205303554083;True 
40;4.14021110534668;123275147741;185449030017;1099511628443;185449030017;True 
40;0.6262834072113037;304715001126;55930564156;1099511628443;55930564156;True 
40;1.5803635120391846;143091536811;310725742192;1099511628443;310725742192;True 
40;6.291431427001953;179080992333;60893286506;1099511628443;60893286506;True 
40;3.7516322135925293;496512861581;88670583790;1099511628443;88670583790;True 
40;2.0206053256988525;425023247110;128362597691;1099511628443;128362597691;True 
40;0.8412678241729736;354479704588;534045620155;1099511628443;534045620155;True 
40;3.4379658699035645;157427522309;31247413830;1099511628443;31247413830;True 
40;6.861138343811035;1064061554961;230650810309;1099511628443;230650810309;True 
40;5.85215425491333;871635114590;102922449820;1099511628443;102922449820;True 
40;1.343564748764038;352597312472;309659168223;1099511628443;309659168223;True 
40;7.290831804275513;644485706511;513628972268;1099511628443;513628972268;True 
